transaction_id,sale_date,sale_year,sale_month,sale_quarter,model,variant,segment,body_style,fuel_type,transmission,color,trim_line,optional_packages,options_cost_usd,msrp_usd,discount_percent,discount_amount_usd,final_sale_price_usd,financing_type,loan_term_months,region,country,sales_channel,customer_type,warranty_package,delivery_days,customer_satisfaction_score,is_repeat_customer,trade_in
BMW-2024-00016,28/09/2024,2024,9,Q3,3 Series,330e,Sedan,Sedan,Petrol,Automatic,Verde Ermes,Luxury Line,2,4767.97,50700.02,0.89,451.23,50248.79,Lease,72,Asia Pacific,Australia,Dealership,Corporate,3-Year Extended,20,4.2,TRUE,TRUE
BMW-2025-00017,20/07/2025,2025,7,Q3,3 Series,330e,Sedan,Sedan,Hybrid (PHEV),Automatic,Mineral Grey,M Sport,2,1749.89,55730.22,3.73,2078.74,53651.48,Lease,24,China,China,Dealership,Individual,5-Year Premium,19,3.8,FALSE,TRUE
BMW-2025-00018,28/03/2025,2025,3,Q1,X3,M40i,SUV,SUV,Diesel,Automatic,Black Sapphire,xLine,3,3049.97,57181.99,5.67,3242.22,53939.77,Cash,0,Europe,Germany,Dealership,Individual,3-Year Extended,8,4.6,TRUE,TRUE
BMW-2024-00019,15/04/2024,2024,4,Q2,5 Series,M5,Sedan,Sedan,Electric (BEV),Automatic,Dravit Grey,M Sport,3,2526.41,69187.34,6.27,4338.05,64849.29,Cash,0,Asia Pacific,India,Online Direct,Individual,3-Year Extended,45,4.5,FALSE,FALSE
BMW-2024-00020,11/09/2024,2024,9,Q3,4 Series,420i,Coupe,Sedan,Hybrid (PHEV),Automatic,Carbon Black,Luxury Line,3,4074.14,55260.79,6.1,3370.91,51889.88,Lease,36,Europe,Germany,Dealership,Individual,3-Year Extended,38,2.5,FALSE,TRUE
BMW-2025-00021,03/07/2025,2025,7,Q3,5 Series,520i,Sedan,Sedan,Electric (BEV),Automatic,Melbourne Red,M Sport,4,9892.8,72853.86,4.92,3584.41,69269.45,Loan,48,North America,Canada,Online Direct,Individual,2-Year Standard,76,4.7,TRUE,FALSE
BMW-2024-00022,02/01/2024,2024,1,Q1,X1,xDrive23i,SUV,SUV,Electric (BEV),Steptronic Sport,Verde Ermes,Sport Line,2,3867.44,45822.59,9.7,4444.79,41377.8,Loan,24,China,China,Online Direct,Individual,5-Year Premium,40,4.3,TRUE,FALSE
BMW-2025-00023,23/01/2025,2025,1,Q1,X5,xDrive50e,SUV,SUV,Petrol,Automatic,Tanzanite Blue,M Sport,3,4655.01,86371.82,9.69,8369.43,78002.39,Lease,72,China,China,Dealership,Individual,5-Year Premium,63,4.7,TRUE,TRUE
BMW-2025-00024,11/06/2025,2025,6,Q2,X5,M50i,SUV,SUV,Petrol,Automatic,Portimao Blue,Luxury Line,3,4513.65,81787.5,5.13,4195.7,77591.8,Lease,60,North America,USA,Dealership,Corporate,5-Year Premium,27,4.2,FALSE,FALSE
BMW-2024-00025,06/09/2024,2024,9,Q3,3 Series,320i,Sedan,Sedan,Hybrid (PHEV),Automatic,Tanzanite Blue,Luxury Line,3,3080.03,48822.7,1.44,703.05,48119.65,Lease,72,Asia Pacific,Japan,Dealership,Corporate,5-Year Premium,70,4.3,FALSE,FALSE
BMW-2025-00026,29/03/2025,2025,3,Q1,X3,M,SUV,SUV,Hybrid (PHEV),Automatic,Carbon Black,xLine,4,6495.26,56420.24,8.44,4761.87,51658.37,Lease,36,Europe,Spain,Online Direct,Individual,2-Year Standard,59,4.4,FALSE,TRUE
BMW-2024-00027,09/12/2024,2024,12,Q4,4 Series,M4,Coupe,Sedan,Petrol,Automatic,Mineral Grey,Sport Line,1,2215.91,56004.98,3.42,1915.37,54089.61,Lease,48,North America,USA,Dealership,Individual,5-Year Premium,77,4.3,TRUE,FALSE
BMW-2025-00028,12/08/2025,2025,8,Q3,5 Series,520i,Sedan,Sedan,Electric (BEV),Automatic,Tanzanite Blue,Individual,3,3519.05,86219.59,3.34,2879.73,83339.86,Loan,72,Middle East,Qatar,Online Direct,Corporate,3-Year Extended,6,4.1,FALSE,FALSE
BMW-2025-00029,18/02/2025,2025,2,Q1,X5,M,SUV,SUV,Diesel,Automatic,Tanzanite Blue,M Sport,2,2319.64,88806.46,2.85,2530.98,86275.48,Lease,60,Middle East,UAE,Dealership,Individual,3-Year Extended,51,3.8,FALSE,FALSE
BMW-2024-00030,15/09/2024,2024,9,Q3,i4,eDrive40,EV,Sedan,Petrol,Automatic,Alpine White,xLine,1,2226.69,62088.52,6.43,3992.29,58096.23,Loan,24,North America,Mexico,Online Direct,Government,2-Year Standard,33,4.3,FALSE,TRUE
BMW-2024-00031,11/08/2024,2024,8,Q3,X1,xDrive25e,SUV,SUV,Hybrid (PHEV),Automatic,Dravit Grey,M Sport,2,3557.71,47575.47,7.74,3682.34,43893.13,Loan,48,China,China,Dealership,Individual,3-Year Extended,51,2.5,FALSE,TRUE
BMW-2025-00032,29/08/2025,2025,8,Q3,X5,xDrive50e,SUV,SUV,Hybrid (PHEV),Automatic,Dravit Grey,M Sport,0,0,83951.95,2.09,1754.6,82197.35,Cash,0,North America,Canada,Dealership,Individual,3-Year Extended,56,3.2,TRUE,FALSE
BMW-2025-00033,12/10/2025,2025,10,Q4,i7,xDrive60,EV,Sedan,Electric (BEV),Automatic,Melbourne Red,M Sport,5,9036.03,125908.36,11.1,13975.83,111932.53,Loan,72,China,China,Online Direct,Individual,2-Year Standard,34,3.8,TRUE,FALSE
BMW-2025-00034,20/04/2025,2025,4,Q2,X3,M40i,SUV,SUV,Petrol,Automatic,Verde Ermes,Luxury Line,0,0,56457.81,6.66,3760.09,52697.72,Lease,72,Europe,Italy,Online Direct,Individual,5-Year Premium,33,3.7,FALSE,FALSE
BMW-2024-00035,03/09/2024,2024,9,Q3,X5,M,SUV,SUV,Petrol,Automatic,Black Sapphire,Luxury Line,3,7482.82,75707.91,4.07,3081.31,72626.6,Loan,48,Europe,Germany,Dealership,Individual,5-Year Premium,48,4.2,FALSE,TRUE
BMW-2024-00036,24/08/2024,2024,8,Q3,3 Series,330i,Sedan,Sedan,Diesel,Automatic,Frozen Pure Grey,xLine,4,7258.18,47437.59,9.36,4440.16,42997.43,Loan,48,Europe,Netherlands,Online Direct,Rental,3-Year Extended,27,2.5,TRUE,TRUE
BMW-2024-00037,15/01/2024,2024,1,Q1,X5,xDrive50e,SUV,SUV,Electric (BEV),Automatic,Frozen Pure Grey,Luxury Line,3,4841.44,78730.98,1.94,1527.38,77203.6,Loan,24,North America,USA,Fleet/Corporate,Individual,3-Year Extended,9,4.2,FALSE,FALSE
BMW-2024-00038,07/03/2024,2024,3,Q1,5 Series,520i,Sedan,Sedan,Hybrid (PHEV),Steptronic Sport,Alpine White,Luxury Line,3,5492.22,64928.52,1.93,1253.12,63675.4,Cash,0,Europe,Netherlands,Dealership,Individual,5-Year Premium,31,2.5,FALSE,FALSE
BMW-2024-00039,31/10/2024,2024,10,Q4,i4,eDrive40,EV,Sedan,Hybrid (PHEV),Steptronic Sport,Alpine White,M Sport,1,1207.77,64692.62,7.82,5058.96,59633.66,Cash,0,Europe,Spain,Dealership,Individual,2-Year Standard,23,4.7,FALSE,FALSE
BMW-2025-00040,26/04/2025,2025,4,Q2,4 Series,430i,Coupe,Sedan,Petrol,Automatic,Carbon Black,Standard,3,2985.36,54449.67,8.96,4878.69,49570.98,Loan,72,Europe,France,Dealership,Government,3-Year Extended,22,4.3,FALSE,TRUE
BMW-2024-00041,18/06/2024,2024,6,Q2,iX,M60,EV,SUV,Diesel,Automatic,Carbon Black,Standard,4,3471.05,94843.69,3.18,3016.03,91827.66,Loan,72,China,China,Dealership,Individual,5-Year Premium,44,4.1,TRUE,TRUE
BMW-2025-00042,21/11/2025,2025,11,Q4,i4,M50,EV,Sedan,Hybrid (PHEV),Automatic,Portimao Blue,M Sport,4,6164.02,70917.88,7.57,5368.48,65549.4,Lease,60,China,China,Fleet/Corporate,Individual,3-Year Extended,14,2.5,FALSE,TRUE
BMW-2025-00043,17/11/2025,2025,11,Q4,2 Series,223i,Compact,Hatchback,Electric (BEV),Automatic,Carbon Black,Luxury Line,0,0,42962.9,6.92,2973.03,39989.87,Lease,60,Europe,Netherlands,Dealership,Individual,2-Year Standard,68,4.3,FALSE,FALSE
BMW-2025-00044,27/02/2025,2025,2,Q1,1 Series,128ti,Compact,Hatchback,Petrol,Automatic,Carbon Black,M Sport,0,0,44249.83,0.29,128.32,44121.51,Loan,60,China,China,Fleet/Corporate,Individual,5-Year Premium,33,3.7,TRUE,FALSE
BMW-2025-00045,19/07/2025,2025,7,Q3,5 Series,530i,Sedan,Sedan,Diesel,Automatic,Carbon Black,xLine,3,7399.25,62945.88,0.19,119.6,62826.28,Loan,48,Africa,South Africa,Dealership,Individual,2-Year Standard,73,4.2,FALSE,FALSE
BMW-2025-00046,04/06/2025,2025,6,Q2,X7,xDrive40i,SUV,SUV,Hybrid (PHEV),Automatic,Tanzanite Blue,Sport Line,4,9992.54,104201.43,10.24,10670.23,93531.2,Cash,0,Asia Pacific,South Korea,Online Direct,Corporate,3-Year Extended,22,4.7,FALSE,TRUE
BMW-2025-00047,19/07/2025,2025,7,Q3,X7,xDrive50e,SUV,SUV,Petrol,Automatic,Mineral Grey,xLine,5,11764.16,100773.27,11.23,11316.84,89456.43,Loan,60,Europe,France,Dealership,Corporate,5-Year Premium,87,4.4,FALSE,FALSE
BMW-2024-00048,07/02/2024,2024,2,Q1,3 Series,M3,Sedan,Sedan,Electric (BEV),Automatic,Carbon Black,Standard,0,0,45122.98,11.88,5360.61,39762.37,Cash,0,Europe,Germany,Fleet/Corporate,Government,5-Year Premium,46,2.5,FALSE,FALSE
BMW-2024-00049,02/12/2024,2024,12,Q4,i4,M50,EV,Sedan,Petrol,Automatic,Carbon Black,Individual,3,7389.52,70046.57,10.53,7375.9,62670.67,Loan,48,Europe,France,Fleet/Corporate,Corporate,3-Year Extended,15,2.5,TRUE,TRUE
BMW-2024-00050,30/01/2024,2024,1,Q1,1 Series,118i,Compact,Hatchback,Diesel,Automatic,Tanzanite Blue,Standard,3,5560.52,34085.62,8.89,3030.21,31055.41,Loan,36,Europe,France,Dealership,Individual,2-Year Standard,77,4.1,TRUE,FALSE
BMW-2025-00051,15/04/2025,2025,4,Q2,4 Series,420i,Coupe,Sedan,Petrol,Automatic,Portimao Blue,M Sport,5,6125.83,61390.09,10.4,6384.57,55005.52,Lease,72,Asia Pacific,India,Dealership,Government,3-Year Extended,28,2.5,FALSE,TRUE
BMW-2025-00052,25/01/2025,2025,1,Q1,X3,M,SUV,SUV,Hybrid (PHEV),Automatic,Portimao Blue,Standard,0,0,54231.03,10.96,5943.72,48287.31,Cash,0,Europe,Netherlands,Fleet/Corporate,Corporate,2-Year Standard,39,4,FALSE,TRUE
BMW-2025-00053,13/10/2025,2025,10,Q4,3 Series,330e,Sedan,Sedan,Diesel,Automatic,Black Sapphire,xLine,2,2710.85,53281.27,4.06,2163.22,51118.05,Lease,72,China,China,Dealership,Individual,2-Year Standard,28,4.2,FALSE,FALSE
BMW-2025-00054,09/01/2025,2025,1,Q1,X1,xDrive25e,SUV,SUV,Petrol,Manual,Carbon Black,xLine,1,2262.24,46839.04,3.44,1611.26,45227.78,Loan,60,Asia Pacific,South Korea,Fleet/Corporate,Individual,5-Year Premium,53,4,FALSE,FALSE
BMW-2024-00055,15/01/2024,2024,1,Q1,4 Series,420i,Coupe,Sedan,Hybrid (PHEV),Steptronic Sport,Portimao Blue,M Sport,4,5430.44,58071.16,6.27,3641.06,54430.1,Cash,0,Europe,Netherlands,Dealership,Individual,2-Year Standard,85,3.7,FALSE,FALSE
BMW-2025-00056,18/12/2025,2025,12,Q4,4 Series,M440i,Coupe,Sedan,Diesel,Automatic,Alpine White,Luxury Line,5,9920.11,60351.08,6.49,3916.79,56434.29,Loan,36,North America,USA,Dealership,Individual,5-Year Premium,78,4.9,FALSE,FALSE
BMW-2025-00057,01/11/2025,2025,11,Q4,2 Series,M2,Compact,Hatchback,Petrol,Automatic,Alpine White,M Sport,4,9331.53,48438.12,3.25,1574.24,46863.88,Lease,48,China,China,Dealership,Individual,3-Year Extended,10,4.2,TRUE,FALSE
BMW-2025-00058,10/04/2025,2025,4,Q2,2 Series,223i,Compact,Hatchback,Petrol,Automatic,Alpine White,M Sport,4,4668.47,48692.95,4.91,2390.82,46302.13,Lease,24,China,China,Online Direct,Individual,2-Year Standard,45,2.5,FALSE,FALSE
BMW-2024-00059,10/10/2024,2024,10,Q4,i4,eDrive35,EV,Sedan,Petrol,Manual,Portimao Blue,M Sport,4,5401.65,60732.6,2.08,1263.24,59469.36,Cash,0,Africa,Egypt,Dealership,Corporate,2-Year Standard,9,4.5,FALSE,FALSE
BMW-2024-00060,06/03/2024,2024,3,Q1,X1,xDrive25e,SUV,SUV,Electric (BEV),Automatic,Carbon Black,Sport Line,0,0,41791.29,11.46,4789.28,37002.01,Loan,72,Europe,Germany,Dealership,Individual,3-Year Extended,54,3.5,FALSE,FALSE
BMW-2025-00061,30/03/2025,2025,3,Q1,2 Series,220i,Compact,Hatchback,Diesel,Automatic,Black Sapphire,Standard,3,4978.31,40155.97,2.97,1192.63,38963.34,Loan,60,Europe,UK,Fleet/Corporate,Individual,5-Year Premium,17,4.7,FALSE,FALSE
BMW-2024-00062,08/08/2024,2024,8,Q3,7 Series,745e,Luxury,Sedan,Hybrid (PHEV),Automatic,Carbon Black,Sport Line,3,2742.38,98155.06,5.69,5585.02,92570.04,Lease,48,Europe,Poland,Dealership,Individual,3-Year Extended,14,2.5,TRUE,FALSE
BMW-2024-00063,13/05/2024,2024,5,Q2,X3,M,SUV,SUV,Petrol,Manual,Verde Ermes,M Sport,2,3641.39,56103.71,1.17,656.41,55447.3,Loan,60,Latin America,Chile,Fleet/Corporate,Corporate,5-Year Premium,76,3.9,TRUE,FALSE
BMW-2024-00064,17/08/2024,2024,8,Q3,i4,eDrive40,EV,Sedan,Diesel,Automatic,Black Sapphire,M Sport,0,0,66401.93,7.62,5059.83,61342.1,Loan,72,Asia Pacific,South Korea,Dealership,Individual,2-Year Standard,37,3,TRUE,FALSE
BMW-2024-00065,12/11/2024,2024,11,Q4,i5,xDrive40,EV,Sedan,Petrol,Automatic,Dravit Grey,M Sport,3,4541.15,79911.31,10.28,8214.88,71696.43,Subscription,0,North America,USA,Dealership,Individual,3-Year Extended,50,3.8,FALSE,FALSE
BMW-2025-00066,04/08/2025,2025,8,Q3,X3,xDrive20i,SUV,SUV,Petrol,Automatic,Alpine White,M Sport,4,3973.96,62217.94,11.28,7018.18,55199.76,Lease,60,North America,Mexico,Dealership,Individual,5-Year Premium,39,3.4,FALSE,FALSE
BMW-2025-00067,14/11/2025,2025,11,Q4,4 Series,430i,Coupe,Sedan,Petrol,Automatic,Alpine White,Standard,0,0,52829.75,6.55,3460.35,49369.4,Cash,0,Europe,Spain,Dealership,Individual,3-Year Extended,19,4,FALSE,TRUE
BMW-2025-00068,26/07/2025,2025,7,Q3,i4,eDrive40,EV,Sedan,Petrol,Automatic,Alpine White,Sport Line,3,3876.53,66299.19,0.85,563.54,65735.65,Lease,60,North America,Mexico,Dealership,Individual,2-Year Standard,44,4.4,FALSE,FALSE
BMW-2025-00069,07/12/2025,2025,12,Q4,i7,eDrive60,EV,Sedan,Petrol,Automatic,Mineral Grey,Sport Line,0,0,115357.68,8.36,9643.9,105713.78,Loan,48,Europe,Germany,Dealership,Corporate,2-Year Standard,68,4.3,FALSE,TRUE
BMW-2025-00070,22/10/2025,2025,10,Q4,iX,xDrive40,EV,SUV,Petrol,Automatic,Mineral Grey,Luxury Line,3,6247.67,98774.43,9.01,8899.58,89874.85,Cash,0,North America,Canada,Fleet/Corporate,Individual,5-Year Premium,60,2.5,FALSE,FALSE
BMW-2025-00071,12/10/2025,2025,10,Q4,Z4,sDrive30i,Roadster,Convertible,Petrol,Automatic,Melbourne Red,Sport Line,2,3169.92,64367.7,9.68,6230.79,58136.91,Loan,72,Asia Pacific,South Korea,Dealership,Individual,3-Year Extended,50,4.2,TRUE,FALSE
BMW-2024-00072,02/04/2024,2024,4,Q2,X3,M,SUV,SUV,Hybrid (PHEV),Automatic,Frozen Pure Grey,xLine,3,4956.97,54637.68,10.3,5627.68,49010,Loan,72,Europe,Spain,Dealership,Individual,2-Year Standard,60,2.5,FALSE,FALSE
BMW-2024-00073,27/03/2024,2024,3,Q1,X1,xDrive20i,SUV,SUV,Diesel,Automatic,Carbon Black,xLine,5,9082.03,44148.25,5.15,2273.63,41874.62,Lease,48,North America,Mexico,Dealership,Corporate,3-Year Extended,85,2.5,TRUE,TRUE
BMW-2025-00074,25/11/2025,2025,11,Q4,5 Series,530e,Sedan,Sedan,Diesel,Manual,Verde Ermes,Standard,0,0,69963.93,1.24,867.55,69096.38,Lease,60,China,China,Dealership,Individual,2-Year Standard,45,3.9,FALSE,FALSE
BMW-2025-00075,02/12/2025,2025,12,Q4,i7,eDrive60,EV,Sedan,Petrol,Automatic,Frozen Pure Grey,Sport Line,1,2499.96,123869.04,10.75,13315.92,110553.12,Cash,0,China,China,Fleet/Corporate,Individual,2-Year Standard,40,4.4,FALSE,FALSE
BMW-2025-00076,23/06/2025,2025,6,Q2,1 Series,128ti,Compact,Hatchback,Petrol,Automatic,Melbourne Red,M Sport,3,2622.83,42200.63,3.52,1485.46,40715.17,Loan,72,Asia Pacific,Thailand,Online Direct,Individual,3-Year Extended,33,4.2,FALSE,FALSE
BMW-2025-00077,04/04/2025,2025,4,Q2,3 Series,330i,Sedan,Sedan,Petrol,Automatic,Carbon Black,xLine,3,4964.82,49485.33,9.48,4691.21,44794.12,Loan,60,Europe,Poland,Dealership,Individual,2-Year Standard,23,4.6,FALSE,TRUE
BMW-2024-00078,13/09/2024,2024,9,Q3,1 Series,M135i,Compact,Hatchback,Diesel,Automatic,Black Sapphire,M Sport,4,4201.97,42186.1,4.21,1776.03,40410.07,Cash,0,Asia Pacific,Thailand,Dealership,Individual,3-Year Extended,31,4.1,FALSE,FALSE
BMW-2025-00079,28/02/2025,2025,2,Q1,1 Series,128ti,Compact,Hatchback,Petrol,Automatic,Verde Ermes,Luxury Line,2,4719.15,41388.9,1.21,500.81,40888.09,Loan,48,North America,USA,Online Direct,Individual,5-Year Premium,20,4.5,FALSE,FALSE
BMW-2024-00080,22/03/2024,2024,3,Q1,1 Series,120i,Compact,Hatchback,Petrol,Automatic,Dravit Grey,Sport Line,4,6308.37,38557.17,1.02,393.28,38163.89,Lease,24,Asia Pacific,Thailand,Dealership,Individual,5-Year Premium,66,4.8,FALSE,FALSE
BMW-2025-00081,11/08/2025,2025,8,Q3,4 Series,430i,Coupe,Sedan,Diesel,Automatic,Dravit Grey,Sport Line,4,6899.76,55592.03,11.37,6320.81,49271.22,Loan,72,Europe,Germany,Fleet/Corporate,Individual,5-Year Premium,67,2.5,TRUE,FALSE
BMW-2024-00082,14/02/2024,2024,2,Q1,X3,xDrive30e,SUV,SUV,Petrol,Automatic,Verde Ermes,M Sport,0,0,59485.24,9.33,5549.97,53935.27,Loan,72,North America,USA,Online Direct,Individual,2-Year Standard,85,3.8,FALSE,FALSE
BMW-2025-00083,13/12/2025,2025,12,Q4,X1,xDrive20i,SUV,SUV,Petrol,Automatic,Carbon Black,Standard,4,6419.12,42514.05,5.91,2512.58,40001.47,Loan,48,Asia Pacific,Japan,Fleet/Corporate,Individual,2-Year Standard,85,4.4,FALSE,FALSE
BMW-2024-00084,18/02/2024,2024,2,Q1,i4,eDrive40,EV,Sedan,Hybrid (PHEV),Manual,Tanzanite Blue,Individual,4,5013.7,73758.17,8.95,6601.36,67156.81,Lease,36,North America,Canada,Dealership,Individual,2-Year Standard,57,4.1,FALSE,FALSE
BMW-2024-00085,03/07/2024,2024,7,Q3,X1,xDrive25e,SUV,SUV,Diesel,Automatic,Portimao Blue,Luxury Line,2,3690.5,45996.37,10.42,4792.82,41203.55,Loan,48,North America,Canada,Dealership,Corporate,2-Year Standard,84,4.3,TRUE,FALSE
BMW-2025-00086,07/01/2025,2025,1,Q1,X1,xDrive23i,SUV,SUV,Diesel,Automatic,Melbourne Red,Individual,2,2901.7,58145.21,7.55,4389.96,53755.25,Cash,0,China,China,Dealership,Individual,2-Year Standard,80,3.4,FALSE,FALSE
BMW-2025-00087,15/01/2025,2025,1,Q1,7 Series,740i,Luxury,Sedan,Diesel,Automatic,Verde Ermes,Sport Line,3,7059.07,100609.12,10.81,10875.85,89733.27,Cash,0,Europe,Spain,Online Direct,Individual,5-Year Premium,36,4.8,FALSE,FALSE
BMW-2024-00088,19/10/2024,2024,10,Q4,X5,M,SUV,SUV,Electric (BEV),Automatic,Black Sapphire,Sport Line,2,3870.66,76840.88,7,5378.86,71462.02,Cash,0,North America,USA,Online Direct,Corporate,5-Year Premium,73,4,FALSE,TRUE
BMW-2024-00089,10/06/2024,2024,6,Q2,X5,xDrive50e,SUV,SUV,Hybrid (PHEV),Automatic,Black Sapphire,xLine,4,4082.44,81636.94,9.77,7975.93,73661.01,Lease,48,China,China,Dealership,Individual,3-Year Extended,11,2.5,FALSE,FALSE
BMW-2025-00090,05/05/2025,2025,5,Q2,X1,xDrive25e,SUV,SUV,Diesel,Automatic,Melbourne Red,xLine,4,7550.6,44268.58,10.93,4838.56,39430.02,Loan,48,Asia Pacific,Japan,Dealership,Corporate,3-Year Extended,19,4.8,FALSE,FALSE
BMW-2024-00091,07/05/2024,2024,5,Q2,X1,xDrive25e,SUV,SUV,Electric (BEV),Manual,Mineral Grey,Sport Line,2,2025.58,46405.17,10.39,4821.5,41583.67,Loan,48,North America,Canada,Dealership,Government,2-Year Standard,71,4.6,FALSE,TRUE
BMW-2025-00092,17/08/2025,2025,8,Q3,3 Series,M3,Sedan,Sedan,Hybrid (PHEV),Automatic,Dravit Grey,Standard,4,6032.79,48930.49,11.64,5695.51,43234.98,Loan,72,China,China,Dealership,Individual,5-Year Premium,66,4.6,FALSE,FALSE
BMW-2024-00093,05/11/2024,2024,11,Q4,X1,xDrive23i,SUV,SUV,Petrol,Automatic,Black Sapphire,M Sport,5,6714.19,46190.25,3.28,1515.04,44675.21,Lease,48,Europe,Italy,Dealership,Individual,3-Year Extended,47,2.5,TRUE,TRUE
BMW-2025-00094,29/07/2025,2025,7,Q3,2 Series,223i,Compact,Hatchback,Petrol,Automatic,Carbon Black,Luxury Line,1,2182.91,42956.69,9.23,3964.9,38991.79,Lease,72,Europe,France,Dealership,Government,2-Year Standard,43,2.5,FALSE,FALSE
BMW-2025-00095,11/06/2025,2025,6,Q2,X1,xDrive25e,SUV,SUV,Electric (BEV),Automatic,Tanzanite Blue,Sport Line,5,9716.43,44335.58,11.34,5027.65,39307.93,Lease,24,Europe,Germany,Dealership,Individual,2-Year Standard,4,3.9,FALSE,FALSE
BMW-2025-00096,09/01/2025,2025,1,Q1,X7,xDrive50e,SUV,SUV,Petrol,Automatic,Dravit Grey,M Sport,4,7826.71,108988.59,2.74,2986.29,106002.3,Lease,60,North America,USA,Online Direct,Individual,3-Year Extended,15,4.8,FALSE,FALSE
